日期,MOM20,MOM120,RSI,PB,PE,DIV,ROE,PROFIT_GR,VOL,BETA
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,-4.220000000000001,-4.220000000000001,-7.76,-4.6499999999999995,-7.35,-4.72,-8.9,1.88,3.05,2.0600000000000005
2015-03-01,1.8399999999999999,1.8399999999999999,3.4399999999999995,-2.6799999999999997,-4.02,-6.98,-0.27000000000000135,9.71,-5.850000000000001,-0.29999999999999716
2015-04-01,-7.83,-7.83,-3.8599999999999994,2.960000000000001,-5.440000000000001,-2.129999999999999,-9.530000000000001,-7.4,8.350000000000001,1.4499999999999993
2015-05-01,-9.61,-9.61,-2.2,-10.82,-8.75,-8.05,-1.88,-6.199999999999999,-1.89,8.290000000000001
2015-06-01,-10.200000000000003,-10.200000000000003,-6.94,23.979999999999997,24.54,23.03,12.33,-3.379999999999999,21.580000000000002,9.45
2015-07-01,-3.34,-3.34,-1.1000000000000014,6.51,8.3,0.6999999999999993,0.7700000000000014,-4.709999999999999,5.609999999999999,4.93
2015-08-01,11.620000000000001,11.620000000000001,4.020000000000001,4.36,5.61,5.17,1.790000000000001,-10.600000000000001,5.25,-1.5500000000000007
2015-09-01,-3.66,-3.66,-2.8400000000000003,7.109999999999999,7.3,5.029999999999999,5.1,4.949999999999999,7.51,5.71
2015-10-01,-2.5700000000000003,-2.5700000000000003,-3.8100000000000005,-7.700000000000001,-7.7,-9.06,0.7799999999999994,8.44,-7.290000000000001,-4.88
2015-11-01,4.93,4.93,7.34,3.88,9.2,2.08,5.25,13.14,2.29,3.37
2015-12-01,5.24,5.24,4.41,-0.16000000000000014,4.31,1.21,6.68,5.28,-0.39999999999999947,-0.3099999999999996
2016-01-01,1.3300000000000018,1.3300000000000018,4.530000000000001,8.340000000000002,10.780000000000001,14.550000000000002,5.879999999999999,-2.6900000000000013,5.629999999999999,2.0
2016-02-01,5.36,5.36,3.7299999999999995,1.0,3.2,2.2999999999999994,2.2399999999999998,-0.6199999999999997,3.36,3.4899999999999998
2016-03-01,-7.990000000000002,-7.990000000000002,-6.910000000000002,-6.93,-4.279999999999999,-8.010000000000002,-0.010000000000001563,9.32,-10.84,-9.57
2016-04-01,-6.08,-6.08,-0.77,4.64,5.470000000000001,4.04,2.3500000000000005,-0.33000000000000007,3.8299999999999996,0.6100000000000003
2016-05-01,2.98,2.98,2.19,-0.5499999999999999,1.53,1.13,1.63,1.6099999999999999,-0.56,1.06
2016-06-01,1.05,1.05,1.29,-0.32,1.71,2.6999999999999997,2.88,2.6399999999999997,1.03,0.45999999999999996
2016-07-01,4.7299999999999995,4.7299999999999995,2.1,1.4299999999999997,0.7400000000000002,3.6399999999999997,1.5199999999999996,-2.64,1.2199999999999998,4.47
2016-08-01,-5.99,-5.99,-4.93,2.67,2.6,-2.03,-1.2500000000000002,3.29,5.27,3.99
2016-09-01,-2.6699999999999995,-2.6699999999999995,2.7800000000000002,1.5799999999999996,2.4299999999999997,2.5599999999999996,1.79,1.2800000000000002,3.91,1.3199999999999998
2016-10-01,-4.35,-4.35,-3.1099999999999994,0.020000000000000018,-1.8400000000000003,0.06000000000000005,-2.4,4.5600000000000005,-3.4000000000000004,-5.52
2016-11-01,13.450000000000001,13.450000000000001,0.040000000000000036,-3.7300000000000004,-0.370000000000001,-2.87,1.0600000000000005,4.9399999999999995,-14.410000000000002,-9.02
2016-12-01,-5.039999999999999,-5.039999999999999,-0.09000000000000075,4.81,0.26000000000000023,0.3999999999999999,-4.03,-0.020000000000000462,4.8100000000000005,7.919999999999999
2017-01-01,1.79,1.79,-0.19999999999999973,4.21,1.1599999999999997,2.1599999999999997,0.0900000000000003,1.49,1.2599999999999998,-1.69
2017-02-01,-4.66,-4.66,-0.4900000000000001,-0.20999999999999996,0.77,1.33,1.1099999999999999,0.5299999999999999,-1.65,-1.8599999999999999
2017-03-01,0.41000000000000003,0.41000000000000003,1.97,-0.64,1.73,2.6500000000000004,0.63,2.4299999999999997,-2.06,-1.22
2017-04-01,3.37,3.37,4.4,-4.090000000000001,-2.03,-0.55,2.0300000000000002,0.13,-1.44,1.01
2017-05-01,10.07,10.07,6.039999999999999,2.3400000000000003,7.709999999999999,6.68,14.05,-1.16,10.32,12.510000000000002
2017-06-01,2.4399999999999995,2.4399999999999995,0.52,-2.23,-1.56,1.1,4.9399999999999995,-0.43999999999999995,-2.82,-0.5499999999999998
2017-07-01,-1.37,-1.37,-2.42,-1.25,-4.690000000000001,-8.69,-9.21,5.81,3.86,7.799999999999999
2017-08-01,2.0100000000000002,2.0100000000000002,0.27,-2.61,-2.0,-1.7699999999999998,-2.5100000000000002,-3.1999999999999997,-5.1000000000000005,-5.53
2017-09-01,4.25,4.25,1.38,0.16000000000000014,3.73,4.23,5.08,-3.24,0.52,4.28
2017-10-01,5.08,5.08,-3.23,-6.21,1.1099999999999999,2.5599999999999996,10.030000000000001,6.14,3.56,-7.01
2017-11-01,1.9900000000000002,1.9900000000000002,4.99,2.98,2.6,4.1,5.7299999999999995,-1.36,0.4,-1.1
2017-12-01,4.680000000000001,4.680000000000001,5.829999999999999,-7.23,0.47,2.85,10.02,7.06,-6.42,-2.5
2018-01-01,-6.75,-6.75,-5.3,10.969999999999999,9.11,15.74,7.190000000000001,-2.8599999999999994,4.74,5.9399999999999995
2018-02-01,-6.1899999999999995,-6.1899999999999995,-2.3600000000000003,1.7199999999999998,1.3299999999999992,0.13999999999999968,-1.8899999999999997,8.19,4.869999999999999,5.18
