month,close_month_end,ret_month,vol_month_sum,vol_month_chg,vol_20_annual_month_end,vol_60_annual_month_end,month_str
2015-01-31,2405.38,-0.06824916620506127,240759567500,-0.372973880611544,0.4676125405175016,0.42518722576594004,2015-01
2015-02-28,2474.59,0.02877300052382581,113685256600,-0.5278058613392383,0.256287471975037,0.4323851226073295,2015-02
2015-03-31,2754.66,0.11317834469548482,257993309000,1.2693647066984761,0.2533554397729837,0.3478970091081722,2015-03
2015-04-30,3250.49,0.17999680541337226,368238254400,0.4273170720098016,0.269143003559357,0.2706901190211682,2015-04
2015-05-31,3111.33,-0.042812006805127756,259537919800,-0.29519022888350954,0.3914298087868961,0.3145347972160811,2015-05
2015-06-30,2870.03,-0.07755525771936755,348849950200,0.34411938906200645,0.537784346540364,0.4259427865940315,2015-06
2015-07-31,2461.24,-0.14243405121200836,420513910900,0.2054291842636473,0.6173791983661704,0.5350275408179792,2015-07
2015-08-31,2210.45,-0.10189579236482427,186680679100,-0.5560653898453469,0.6402578640256795,0.6016536547969732,2015-08
2015-09-30,2146.12,-0.029102671401750713,117200273900,-0.37218851749934523,0.3012919710705194,0.5161758028863362,2015-09
2015-10-31,2312.97,0.07774495368385725,82863638300,-0.2929740217953535,0.1909318607524116,0.42072108876474024,2015-10
2015-11-30,2336.29,0.010082275170019583,131944299600,0.5923063759559783,0.28961923093874214,0.27045279766866165,2015-11
2015-12-31,2420.8,0.03617273540527943,102200640800,-0.2254258720548773,0.2448612523110381,0.2543611056251841,2015-12
2016-01-31,1973.01,-0.1849760409781891,70174227400,-0.3133680292932175,0.46027151387021814,0.3444154603968758,2016-01
2016-02-29,1944.61,-0.014394250409273224,45748214900,-0.34807668577196194,0.3655936532535979,0.3575599097498451,2016-02
2016-03-31,2156.54,0.10898329227968584,94512585400,1.0659294708349374,0.22581839254305452,0.35138611948719206,2016-03
2016-04-30,2135.51,-0.009751731940979447,52182292600,-0.44787995821771265,0.10759840687038234,0.2329021451114987,2016-04
2016-05-31,2155.66,0.009435685152492601,37547014500,-0.2804644520352101,0.15704143476948487,0.15628085400639474,2016-05
2016-06-30,2122.63,-0.015322453448131768,36335471300,-0.03226736442653788,0.12834945077797827,0.13183397625204693,2016-06
2016-07-31,2155.24,0.015363016635023374,52585139500,0.44721225894763617,0.12190365767706787,0.1345856946883248,2016-07
2016-08-31,2232.71,0.0359449527662814,57804900300,0.09926303989361851,0.14546738186509522,0.1286689228522668,2016-08
2016-09-30,2177.35,-0.02479498009145842,32452697900,-0.43858223556178333,0.08877481089014828,0.11601297195341602,2016-09
2016-10-31,2250.47,0.03358210668932404,41868103800,0.29012706213248296,0.0943815941926419,0.11305398136306005,2016-10
2016-11-30,2419.41,0.0750687634138647,100612057500,1.403071750767944,0.10861255903047003,0.10312509459458423,2016-11
2016-12-31,2286.9,-0.05476955125423133,92586100100,-0.0797713276065346,0.12868664266440769,0.12019125827630149,2016-12
2017-01-31,2364.02,0.03372250644977903,44539244900,-0.5189424238423019,0.07795301453331699,0.11484635121980583,2017-01
2017-02-28,2370.71,0.00282992529674031,49634344900,0.11439574270824693,0.08252077126992906,0.1093342798824186,2017-02
2017-03-31,2359.75,-0.004623087598230047,61321553500,0.23546616004596443,0.07288641268448308,0.07935556273496563,2017-03
2017-04-30,2347.04,-0.005386163788536957,52607438100,-0.1421052615700612,0.07176349843691611,0.0752292294060214,2017-04
2017-05-31,2479.08,0.05625809530302006,50810809100,-0.034151615529819934,0.1290668739025012,0.09669519281411125,2017-05
2017-06-30,2549.97,0.02859528534779021,55108197400,0.08457626194344536,0.11685680026632622,0.11033682267654354,2017-06
2017-07-31,2638.12,0.03456903414549983,68030027800,0.23448109373288983,0.11049775536083717,0.11945932986486098,2017-07
2017-08-31,2714.63,0.029001713341318958,72725578000,0.06902172984265631,0.13060035981524282,0.12191305279664134,2017-08
2017-09-30,2672.33,-0.01558223404294512,59426849300,-0.18286178076164616,0.06752390272706874,0.10843797848640767,2017-09
2017-10-31,2793.71,0.04542103707251721,48200558400,-0.1889094076538902,0.09104390891401382,0.10265549345601847,2017-10
